bodyId,type,instance,superclass,subclass,somaSide,rootSide,somaNeuromere,exitNerve,mancBodyid,mancType,flywireType,status,statusLabel,literature_muscle,literature_action,literature_sources,muscle_bridge_status,limits
10738,GNG641,GNG641_L,cb_motor,nm,L,,,CvN,,,CB4212,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
10754,CvN7,CvN7_L,cb_motor,nm,L,,,CvN,,,CB0831,Traced,Roughly traced,VL1 (ventral longitudinal neck muscle),頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。CvN7はpitch方向が初期姿勢により反転,GOR24,exact_type_label_bridge,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。
10827,GNG651,GNG651_L,cb_motor,am,L,,,AN,,,CB0810,Traced,Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
10863,,,cb_motor,am,R,,,AN,,,,Traced,Prelim Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
10927,PS348,PS348(hb1622540849)_R,cb_motor,am,R,,,AN,,,CB0901,Traced,Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
11051,PS348,PS348_L,cb_motor,am,L,,,AN,,,CB0901,Traced,Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
11084,MN1,MN1_L,cb_motor,pm,L,,GNG,MxLbN,,,CB0720,Traced,Prelim Roughly traced,m1,rostrum退縮。伸展状態ではhaustellum屈曲も誘起,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
11265,PS349,PS349_L,cb_motor,rm,L,,,AN,,,CB0804,Traced,Roughly traced,unassigned,網膜注釈のみ。具体的筋/作用未同定,FEN22,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
11269,MN11D,MN11D_R,cb_motor,pm,R,,,PhN,,,CB0700,Traced,Roughly traced,m11D (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
11316,CvN4,CvN4_L,cb_motor,nm,L,,LB,CvN,,,CB0899,Traced,Roughly traced,VL2 (ventral longitudinal neck muscle),頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,GOR24,exact_type_label_bridge,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。
11354,GNG650,GNG650_R,cb_motor,nm,R,,LB,CvN,,,CB0835,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
11393,MN11D,MN11D_R,cb_motor,pm,R,,,PhN,,,CB0700,Traced,Roughly traced,m11D (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
11403,GNG641,GNG641_R,cb_motor,nm,R,,,CvN,,,CB4212,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
11450,MN4b,MN4b_R,cb_motor,pm,R,,,MxLbN,,,CB0871,Traced,Roughly traced,m4 candidate,haustellum伸展の亜型候補,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
11529,GNG652,GNG652_R,cb_motor,am,R,,,AN,,,CB0723,Traced,Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
11861,MN10,MN10_R,cb_motor,pm,R,,,PhN,,,MN10,Traced,Prelim Roughly traced,m10 (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
11879,GNG276,GNG276_L,cb_motor,nm,L,,LB,CvN,,,CB0705,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
11934,GNG650,GNG650_L,cb_motor,nm,L,,LB,CvN,,,CB0835,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
11979,GNG651,GNG651_R,cb_motor,am,R,,,AN,,,CB0810,Traced,Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12076,GNG647,GNG647_R,cb_motor,rm,R,,,ON,,,CB0918,Traced,Roughly traced,unassigned,網膜注釈のみ。具体的筋/作用未同定,FEN22,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12097,GNG283,GNG283_L,cb_motor,nm,L,,LB,CvN,,,CB0705,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12126,GNG647,GNG647_L,cb_motor,rm,L,,,ON,,,CB0918,Traced,Roughly traced,unassigned,網膜注釈のみ。具体的筋/作用未同定,FEN22,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12141,CvN4,CvN4_R,cb_motor,nm,R,,LB,CvN,,,CB0899,Traced,Roughly traced,VL2 (ventral longitudinal neck muscle),頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,GOR24,exact_type_label_bridge,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。
12173,GNG314,GNG314_L,cb_motor,rm,L,,,ON,,,CB0004,Traced,Roughly traced,unassigned,網膜注釈のみ。具体的筋/作用未同定,FEN22,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12180,GNG653,GNG653_L,cb_motor,nm,L,,LB,CvN,,,CB0706,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12342,GNG276,GNG276_R,cb_motor,nm,R,,LB,CvN,,,CB0705,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12631,GNG314,GNG314_R,cb_motor,rm,R,,,ON,,,CB0004,Traced,Roughly traced,unassigned,網膜注釈のみ。具体的筋/作用未同定,FEN22,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12642,GNG649,GNG649_L,cb_motor,am,L,,,AN,,,CB0886,Traced,Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12657,GNG668,GNG668_R,cb_motor,am,R,,,AN,,,CB0750,Traced,Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
12845,GNG133,GNG133_L,cb_motor,am,L,,LB,AN,,,CB0873,Traced,Prelim Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
13128,GNG653,GNG653_R,cb_motor,nm,R,,LB,CvN,,,CB0706,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
13359,MN5,MN5_R,cb_motor,pm,R,,,PhN,,,CB0728,Traced,Prelim Roughly traced,m5 (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
13592,GNG647,GNG647_R,cb_motor,rm,R,,,ON,,,CB0918,Traced,Prelim Roughly traced,unassigned,網膜注釈のみ。具体的筋/作用未同定,FEN22,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
13643,GNG652,GNG652_L,cb_motor,am,L,,,AN,,,CB0723,Traced,Prelim Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
13812,GNG133,GNG133_R,cb_motor,am,R,,LB,AN,,,CB0873,Traced,Prelim Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
14237,MN12D,MN12D_L,cb_motor,pm,L,,,PhN,,,CB0914/CB0915,Traced,Roughly traced,m12D (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
14780,MN2Da,MN2Da_L,cb_motor,pm,L,,,MxLbN,,,CB0789,Traced,Roughly traced,m2D candidate,補助rostrum退縮,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
14907,MN13,MN13_L,cb_motor,pm,L,,,MxLbN,,,CB0836,Traced,Roughly traced,m13,具体的運動作用を今回未確定,MCK20,muscle_identity_only,文献の機能標本とMaleCNSは別個体。型名対応のみで生理を同定しない。
15140,GNG668,GNG668_L,cb_motor,am,L,,,AN,,,CB0750,Traced,Roughly traced,unassigned,触角注釈のみ。具体的筋/作用未同定,SUV23;OZD26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
15530,MN1,MN1_L,cb_motor,pm,L,,GNG,MxLbN,,,CB0720,Traced,Prelim Roughly traced,m1,rostrum退縮。伸展状態ではhaustellum屈曲も誘起,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
16134,MN7,MN7_L,cb_motor,pm,L,,,MxLbN,,,CB0762,Traced,Roughly traced,m7,labella外転/開口,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
16361,MNx03,MNx03_L,cb_motor,pm,L,,,PhN,,,MNx03,Traced,Prelim Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
16827,MN8,MN8_L,cb_motor,pm,L,,,MxLbN,,,CB0911,Traced,Prelim Roughly traced,m8,具体的運動作用を今回未確定,MCK20,muscle_identity_only,文献の機能標本とMaleCNSは別個体。型名対応のみで生理を同定しない。
16892,MN7,MN7_L,cb_motor,pm,L,,,MxLbN,,,CB0762,Traced,Roughly traced,m7,labella外転/開口,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
16949,MN9,MN9_R,cb_motor,pm,R,,,PhN,,,CB0701,Traced,RT Hard to trace,m9,rostrumを頭部外へ突出（腹側へ）。haustellum伸展との連動,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
17281,MN2Db,MN2Db_L,cb_motor,pm,L,,,MxLbN,,,CB0861,Traced,Prelim Roughly traced,m2D candidate,補助rostrum退縮の亜型候補,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
17495,MN7,MN7_R,cb_motor,pm,R,,,MxLbN,,,CB0762,Traced,RT Hard to trace,m7,labella外転/開口,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
18295,MN4a,MN4a_L,cb_motor,pm,L,,,MxLbN,,,CB0845,Traced,Prelim Roughly traced,m4 candidate,haustellum伸展,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
19296,MNx01,MNx01_R,cb_motor,pm,R,,,PhN,,,MNx01,Traced,Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
19823,CEM,CEM_L,cb_motor,pm,L,,,PhN,,,CEM,Traced,Prelim Roughly traced,crop-duct entry muscles,嗉嚢入口の流入を調節。刺激で糖液の嗉嚢流入が停止し、解除後再開,CUI24pre;GUS26,exact_type_label_bridge,直接機能資料は未査読Cui2024v1。口器の動きとは分離。CEM全6注釈の各個別活動ではない。
20173,MN8,MN8_R,cb_motor,pm,R,,,MxLbN,,,CB0911,Traced,Prelim Roughly traced,m8,具体的運動作用を今回未確定,MCK20,muscle_identity_only,文献の機能標本とMaleCNSは別個体。型名対応のみで生理を同定しない。
20518,CEM,CEM_L,cb_motor,pm,L,,,PhN,,,CEM,Traced,PRT Orphan,crop-duct entry muscles,嗉嚢入口の流入を調節。刺激で糖液の嗉嚢流入が停止し、解除後再開,CUI24pre;GUS26,exact_type_label_bridge,直接機能資料は未査読Cui2024v1。口器の動きとは分離。CEM全6注釈の各個別活動ではない。
20600,MNx03,MNx03_L,cb_motor,pm,L,,,PhN,,,MNx03,Traced,Prelim Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
23511,CEM,CEM_R,cb_motor,pm,R,,,PhN,,,CEM,Traced,Prelim Roughly traced,crop-duct entry muscles,嗉嚢入口の流入を調節。刺激で糖液の嗉嚢流入が停止し、解除後再開,CUI24pre;GUS26,exact_type_label_bridge,直接機能資料は未査読Cui2024v1。口器の動きとは分離。CEM全6注釈の各個別活動ではない。
24511,MNx03,MNx03_R,cb_motor,pm,R,,,PhN,,,MNx03,Traced,Prelim Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
24808,MNx05,MNx05_R,cb_motor,pm,R,,,PhN,,,CB0769,Traced,Prelim Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
26137,MNx02,MNx02_R,cb_motor,pm,R,,,PhN,,,CB0904,Traced,RT Hard to trace,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
27938,MN4a,MN4a_R,cb_motor,pm,R,,,MxLbN,,,CB0845,Traced,RT Hard to trace,m4 candidate,haustellum伸展,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
30780,MN13,MN13_R,cb_motor,pm,R,,,MxLbN,,,CB0836,Traced,RT Hard to trace,m13,具体的運動作用を今回未確定,MCK20,muscle_identity_only,文献の機能標本とMaleCNSは別個体。型名対応のみで生理を同定しない。
32092,MN7,MN7_R,cb_motor,pm,R,,,MxLbN,,,CB0762,Traced,RT Hard to trace,m7,labella外転/開口,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
32852,CEM,CEM_L,cb_motor,pm,L,,,PhN,,,CEM,Traced,Prelim Roughly traced,crop-duct entry muscles,嗉嚢入口の流入を調節。刺激で糖液の嗉嚢流入が停止し、解除後再開,CUI24pre;GUS26,exact_type_label_bridge,直接機能資料は未査読Cui2024v1。口器の動きとは分離。CEM全6注釈の各個別活動ではない。
34597,CEM,CEM_R,cb_motor,pm,R,,,PhN,,,CEM,Traced,Prelim Roughly traced,crop-duct entry muscles,嗉嚢入口の流入を調節。刺激で糖液の嗉嚢流入が停止し、解除後再開,CUI24pre;GUS26,exact_type_label_bridge,直接機能資料は未査読Cui2024v1。口器の動きとは分離。CEM全6注釈の各個別活動ではない。
36368,MN4a,MN4a_L,cb_motor,pm,L,,,MxLbN,,,CB0845,Traced,Prelim Roughly traced,m4 candidate,haustellum伸展,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
49829,MN11V,MN11V_L,cb_motor,pm,L,,,PhN,,,CB0708,Traced,Prelim Roughly traced,m11V (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
85275,MN3L,MN3L_R,cb_motor,pm,R,,,PhN,,,CB0875/CB0882,Traced,Prelim Roughly traced,m3 lateral fibres,haustellum屈曲,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
94688,MN3M,MN3M_L,cb_motor,pm,L,,,PhN,,,CB0703,Traced,Prelim Roughly traced,m3 medial fibres,haustellum屈曲,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
101002,MNx01,MNx01_L,cb_motor,pm,L,,,PhN,,,MNx01,Traced,Prelim Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
164190,MNad21,MNad21_L,vnc_motor,ad,L,,A1,AbN2,10482.0,MNad21,,Traced,Prelim Roughly traced,unassigned,腹部/尾端注釈のみ。具体的筋/作用未同定,MANC;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
174810,CvN5,CvN5_L,cb_motor,nm,L,,LB,CvN,,,CB0838,Traced,Roughly traced,VL1 (ventral longitudinal neck muscle),頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,GOR24,exact_type_label_bridge,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。
192306,CvN6,CvN6_L,cb_motor,nm,L,,,CvN,,,CB0916,Traced,Roughly traced,VL1 (ventral longitudinal neck muscle),頭部姿勢調整。各型の固定yaw/pitch/roll作用は割り当てない。個別回転軸はGOR24 Fig4i参照,GOR24,exact_type_label_bridge,GOR24 Fig4hでCvN4はVL2のみ、CvN5-8はVL1。固定方向の筋写像ではない。型名照合であり現在のMaleCNS活動ではない。
200682,MNx04,MNx04_R,cb_motor,pm,R,,,PhN,,,CB0715,Traced,Prelim Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
231558,GNG283,GNG283(hb2180780757)_R,cb_motor,nm,R,,LB,CvN,,,CB0705,Traced,Roughly traced,unassigned,頸部注釈のみ。具体的筋/作用未同定,GOR24;BANC26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
269067,MN3L,MN3L_L,cb_motor,pm,L,,,PhN,,,CB0875/CB0882,Traced,Prelim Roughly traced,m3 lateral fibres,haustellum屈曲,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
440899,MN12D,MN12D_R,cb_motor,pm,R,,,PhN,,,CB0914/CB0915,Traced,Roughly traced,m12D (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
482595,CEM,CEM_L,cb_motor,pm,L,,,PhN,,,CEM,Traced,Prelim Roughly traced,crop-duct entry muscles,嗉嚢入口の流入を調節。刺激で糖液の嗉嚢流入が停止し、解除後再開,CUI24pre;GUS26,exact_type_label_bridge,直接機能資料は未査読Cui2024v1。口器の動きとは分離。CEM全6注釈の各個別活動ではない。
511990,MN3L,MN3L_R,cb_motor,pm,R,,,PhN,,,CB0875/CB0882,Traced,Prelim Roughly traced,m3 lateral fibres,haustellum屈曲,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
512877,MNx01,MNx01_L,cb_motor,pm,L,,,PhN,,,MNx01,Traced,Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
515060,MN10,MN10_R,cb_motor,pm,R,,,PhN,,,MN10,Traced,Prelim Roughly traced,m10 (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
517268,MN2Da,MN2Da_R,cb_motor,pm,R,,,MxLbN,,,CB0789,Traced,Roughly traced,m2D candidate,補助rostrum退縮,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
518650,MN4b,MN4b_L,cb_motor,pm,L,,,MxLbN,,,CB0871,Traced,Roughly traced,m4 candidate,haustellum伸展の亜型候補,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
519667,MN6,MN6_R,cb_motor,pm,R,,,MxLbN,,,CB0858,Traced,Prelim Roughly traced,m6,labellum伸展,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
519878,MN2V,MN2V_R,cb_motor,pm,R,,,MxLbN,,,CB0783,Traced,Roughly traced,m2V,補助rostrum退縮,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
522704,MN4a,MN4a_R,cb_motor,pm,R,,,MxLbN,,,CB0845,Traced,Prelim Roughly traced,m4 candidate,haustellum伸展,MCK20;GUS26,candidate_subtype,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
524799,MN3M,MN3M_R,cb_motor,pm,R,,,PhN,,,CB0703,Traced,Prelim Roughly traced,m3 medial fibres,haustellum屈曲,MCK20,exact_type_label_bridge,MN2DとMN4のa/b亜型は2026命名。2020の親型操作を各亜型の独立作用としない。機械的連動と神経回路協調も別。
533967,MN12D,MN12D_L,cb_motor,pm,L,,,PhN,,,CB0914/CB0915,Traced,Roughly traced,m12D (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
533971,MNx01,MNx01_L,cb_motor,pm,L,,,PhN,,,MNx01,Traced,Prelim Roughly traced,unassigned,口器/咽頭関連注釈のみ。具体的筋/作用未同定,GUS26,annotation_only,型名/出神経のみから具体的筋や作用を推定しない。
535501,MN5,MN5_L,cb_motor,pm,L,,,PhN,,,CB0728,Traced,Prelim Roughly traced,m5 (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
551398,MN11D,MN11D_L,cb_motor,pm,L,,,PhN,,,CB0700,Traced,RT Hard to trace,m11D (pharyngeal musculature),咽頭ポンプに関連する筋。各型の詳細作用は今回未検証,MCK20,exact_type_label_bridge,筋同定資料とポンプ作動を区別。MN12DとMN12Vは近接命名で機能類似を含意しない。
